City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
338,Mount Isa,AU,-20.73,139.5,78.8,26,0,5.82,clear sky
339,Volot,RU,57.93,30.7,38.37,77,99,2.68,overcast clouds
340,Bratsk,RU,56.13,101.61,24.8,79,100,6.71,overcast clouds
341,Nizhnyaya Salda,RU,58.08,60.72,37.74,79,68,3.15,broken clouds
342,Lasa,IT,46.62,10.7,42.01,100,75,5.82,broken clouds
343,Luanda,AO,-8.84,13.23,77.0,83,75,10.29,broken clouds
344,Atar,MR,20.52,-13.05,90.1,23,0,8.88,clear sky
345,Avera,US,33.19,-82.53,75.2,57,1,11.41,clear sky
346,Yar-Sale,RU,66.83,70.83,30.7,98,100,24.45,overcast clouds
347,Pak Phanang,TH,8.35,100.2,78.73,83,100,11.72,overcast clouds
348,Julio De Castilhos,BR,-29.23,-53.68,65.14,67,0,9.19,clear sky
349,Papetoai,PF,-17.5,-149.87,75.2,88,90,9.17,light rain
350,Hasaki,JP,35.73,140.83,54.0,93,75,14.99,light rain
351,High Level,CA,58.52,-117.14,19.4,73,90,8.05,light snow
352,Merauke,ID,-8.47,140.33,78.53,71,88,13.91,overcast clouds
